actual,predicted
neptune,anomaly
neptune,anomaly
normal,normal
saint,anomaly
mscan,anomaly
normal,normal
normal,normal
guess_passwd,normal
normal,normal
guess_passwd,normal
mscan,normal
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
mscan,anomaly
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
smurf,anomaly
normal,normal
apache2,normal
normal,normal
normal,normal
normal,anomaly
satan,anomaly
mscan,anomaly
normal,normal
buffer_overflow,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
neptune,anomaly
back,normal
mscan,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
warezmaster,normal
normal,normal
neptune,anomaly
snmpgetattack,normal
processtable,normal
normal,normal
guess_passwd,normal
warezmaster,normal
normal,normal
normal,normal
satan,anomaly
normal,normal
mscan,anomaly
neptune,anomaly
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
processtable,normal
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
pod,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
mscan,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
httptunnel,anomaly
guess_passwd,normal
normal,normal
normal,normal
normal,normal
nmap,anomaly
neptune,anomaly
satan,anomaly
guess_passwd,normal
neptune,anomaly
neptune,anomaly
normal,normal
neptune,anomaly
ps,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
processtable,normal
processtable,normal
normal,normal
neptune,anomaly
normal,normal
smurf,normal
neptune,anomaly
snmpguess,normal
normal,normal
smurf,anomaly
nmap,anomaly
neptune,anomaly
normal,normal
normal,normal
guess_passwd,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
processtable,anomaly
normal,normal
processtable,anomaly
normal,normal
neptune,anomaly
snmpguess,normal
mscan,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
apache2,normal
ipsweep,anomaly
mscan,anomaly
neptune,anomaly
normal,normal
processtable,anomaly
guess_passwd,anomaly
neptune,anomaly
pod,anomaly
mailbomb,normal
normal,normal
neptune,anomaly
processtable,normal
neptune,anomaly
neptune,anomaly
neptune,anomaly
neptune,anomaly
neptune,anomaly
satan,anomaly
neptune,anomaly
warezmaster,normal
neptune,anomaly
neptune,anomaly
warezmaster,normal
normal,normal
neptune,anomaly
processtable,normal
normal,normal
neptune,anomaly
neptune,anomaly
apache2,normal
normal,normal
satan,anomaly
saint,anomaly
guess_passwd,normal
normal,normal
smurf,normal
normal,normal
normal,normal
normal,normal
normal,normal
guess_passwd,normal
neptune,anomaly
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
processtable,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
guess_passwd,normal
neptune,anomaly
snmpgetattack,normal
mscan,anomaly
normal,normal
apache2,anomaly
normal,normal
normal,normal
satan,anomaly
neptune,anomaly
processtable,anomaly
normal,normal
normal,normal
apache2,anomaly
warezmaster,normal
normal,normal
normal,normal
normal,normal
smurf,normal
normal,normal
normal,normal
normal,normal
snmpguess,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
back,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
mscan,anomaly
warezmaster,normal
normal,normal
neptune,anomaly
pod,normal
apache2,anomaly
normal,normal
apache2,normal
mscan,normal
normal,normal
normal,normal
apache2,anomaly
neptune,anomaly
neptune,anomaly
normal,normal
warezmaster,anomaly
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
normal,normal
guess_passwd,normal
normal,normal
neptune,anomaly
satan,anomaly
mscan,anomaly
normal,normal
warezmaster,anomaly
normal,normal
normal,normal
warezmaster,normal
normal,normal
neptune,anomaly
neptune,anomaly
neptune,anomaly
guess_passwd,normal
normal,normal
normal,normal
ipsweep,normal
neptune,anomaly
normal,normal
neptune,anomaly
portsweep,anomaly
neptune,anomaly
normal,normal
mscan,anomaly
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
warezmaster,normal
warezmaster,normal
mscan,anomaly
neptune,anomaly
normal,normal
warezmaster,anomaly
neptune,anomaly
normal,normal
processtable,anomaly
normal,normal
httptunnel,anomaly
mscan,anomaly
normal,normal
normal,normal
normal,normal
mscan,anomaly
normal,normal
neptune,anomaly
normal,normal
neptune,anomaly
back,normal
normal,normal
guess_passwd,normal
normal,normal
normal,normal
satan,anomaly
warezmaster,normal
neptune,anomaly
neptune,anomaly
satan,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
guess_passwd,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
warezmaster,normal
smurf,normal
guess_passwd,normal
mscan,anomaly
neptune,anomaly
neptune,anomaly
normal,anomaly
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
portsweep,anomaly
mscan,anomaly
apache2,anomaly
normal,normal
normal,normal
back,normal
satan,anomaly
mscan,anomaly
satan,anomaly
processtable,anomaly
normal,normal
neptune,anomaly
neptune,anomaly
guess_passwd,normal
normal,normal
normal,normal
guess_passwd,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
satan,anomaly
normal,normal
snmpguess,normal
normal,normal
neptune,anomaly
back,normal
normal,normal
normal,normal
neptune,anomaly
guess_passwd,normal
guess_passwd,normal
neptune,anomaly
normal,normal
normal,normal
processtable,normal
neptune,anomaly
processtable,anomaly
normal,anomaly
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
processtable,normal
normal,normal
neptune,anomaly
saint,anomaly
normal,normal
normal,normal
smurf,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
guess_passwd,normal
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
snmpgetattack,normal
processtable,normal
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
saint,anomaly
normal,normal
normal,normal
back,normal
neptune,anomaly
mailbomb,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
mscan,anomaly
normal,anomaly
neptune,anomaly
multihop,normal
neptune,anomaly
normal,normal
mailbomb,normal
normal,normal
mscan,anomaly
normal,normal
normal,normal
satan,anomaly
normal,normal
guess_passwd,normal
normal,normal
normal,normal
normal,normal
normal,normal
smurf,normal
normal,normal
normal,normal
normal,normal
snmpgetattack,normal
neptune,anomaly
guess_passwd,normal
apache2,anomaly
neptune,anomaly
normal,anomaly
normal,normal
normal,normal
satan,anomaly
nmap,anomaly
mscan,anomaly
processtable,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
satan,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
httptunnel,anomaly
guess_passwd,normal
back,normal
normal,normal
normal,normal
normal,anomaly
normal,normal
processtable,normal
normal,normal
normal,normal
warezmaster,normal
mscan,anomaly
normal,normal
neptune,anomaly
satan,anomaly
processtable,normal
normal,normal
back,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
mscan,anomaly
neptune,anomaly
normal,anomaly
saint,anomaly
normal,normal
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
processtable,anomaly
neptune,anomaly
back,normal
smurf,normal
normal,normal
guess_passwd,normal
neptune,anomaly
snmpgetattack,normal
normal,normal
normal,normal
mscan,anomaly
snmpguess,normal
smurf,normal
smurf,normal
ipsweep,anomaly
apache2,anomaly
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
normal,normal
warezmaster,normal
satan,anomaly
neptune,anomaly
normal,normal
guess_passwd,normal
normal,normal
portsweep,anomaly
mailbomb,normal
apache2,anomaly
normal,normal
warezmaster,anomaly
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
guess_passwd,normal
normal,normal
neptune,anomaly
satan,anomaly
normal,normal
normal,normal
neptune,anomaly
apache2,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
smurf,normal
mscan,anomaly
neptune,anomaly
normal,normal
normal,normal
smurf,anomaly
normal,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
snmpgetattack,normal
normal,normal
smurf,normal
normal,normal
normal,normal
normal,normal
smurf,normal
normal,normal
apache2,anomaly
neptune,anomaly
warezmaster,normal
normal,normal
guess_passwd,normal
guess_passwd,normal
neptune,anomaly
snmpguess,normal
smurf,anomaly
httptunnel,anomaly
normal,normal
apache2,anomaly
normal,anomaly
normal,normal
normal,normal
neptune,anomaly
normal,normal
portsweep,anomaly
mailbomb,normal
neptune,anomaly
normal,normal
apache2,anomaly
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
snmpgetattack,normal
smurf,normal
neptune,anomaly
neptune,anomaly
guess_passwd,normal
neptune,anomaly
normal,normal
nmap,anomaly
back,normal
normal,normal
back,normal
normal,normal
neptune,anomaly
normal,normal
warezmaster,normal
neptune,anomaly
processtable,anomaly
guess_passwd,normal
normal,normal
neptune,anomaly
neptune,anomaly
processtable,normal
neptune,anomaly
guess_passwd,normal
normal,normal
apache2,normal
normal,normal
neptune,anomaly
guess_passwd,normal
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
saint,anomaly
guess_passwd,normal
apache2,anomaly
satan,anomaly
normal,anomaly
neptune,anomaly
ipsweep,normal
normal,normal
normal,normal
neptune,anomaly
mscan,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
mscan,normal
warezmaster,normal
normal,normal
normal,normal
normal,normal
guess_passwd,normal
guess_passwd,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
guess_passwd,normal
satan,anomaly
normal,normal
normal,anomaly
normal,normal
normal,normal
normal,normal
processtable,normal
normal,normal
processtable,normal
normal,normal
normal,normal
neptune,anomaly
smurf,normal
pod,normal
snmpguess,normal
apache2,anomaly
neptune,anomaly
normal,normal
satan,anomaly
normal,normal
smurf,normal
normal,normal
normal,normal
normal,normal
guess_passwd,normal
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
mscan,anomaly
warezmaster,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
neptune,anomaly
satan,anomaly
normal,normal
normal,normal
satan,anomaly
neptune,anomaly
neptune,anomaly
satan,anomaly
normal,normal
neptune,anomaly
portsweep,anomaly
normal,normal
normal,anomaly
normal,normal
normal,normal
normal,normal
pod,anomaly
smurf,normal
ipsweep,anomaly
mscan,anomaly
normal,normal
normal,normal
normal,normal
smurf,normal
snmpgetattack,normal
normal,normal
normal,normal
saint,anomaly
normal,normal
normal,normal
named,normal
neptune,anomaly
normal,normal
mailbomb,normal
back,normal
normal,normal
normal,normal
normal,normal
normal,normal
normal,normal
guess_passwd,normal
normal,normal
neptune,anomaly
smurf,normal
mscan,anomaly
normal,normal
mscan,anomaly
normal,normal
normal,normal
warezmaster,normal
back,normal
normal,normal
normal,normal
warezmaster,normal
normal,normal
neptune,anomaly
normal,normal
processtable,normal
neptune,anomaly
normal,normal
normal,normal
satan,anomaly
neptune,anomaly
normal,normal
warezmaster,normal
apache2,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
apache2,anomaly
normal,normal
smurf,normal
satan,anomaly
normal,normal
warezmaster,normal
normal,normal
normal,normal
normal,normal
guess_passwd,normal
normal,normal
apache2,anomaly
saint,anomaly
normal,normal
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
processtable,normal
normal,normal
normal,normal
processtable,normal
neptune,anomaly
processtable,anomaly
normal,normal
processtable,normal
normal,normal
warezmaster,normal
mscan,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
snmpgetattack,normal
normal,normal
normal,normal
processtable,anomaly
warezmaster,normal
normal,normal
normal,normal
warezmaster,normal
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
processtable,anomaly
apache2,anomaly
normal,normal
normal,normal
warezmaster,normal
normal,normal
normal,normal
apache2,anomaly
normal,normal
guess_passwd,normal
neptune,anomaly
neptune,anomaly
mailbomb,normal
neptune,anomaly
neptune,anomaly
satan,anomaly
warezmaster,normal
neptune,anomaly
back,normal
neptune,anomaly
normal,normal
apache2,anomaly
normal,normal
normal,normal
mscan,anomaly
normal,normal
processtable,normal
normal,normal
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
guess_passwd,normal
apache2,anomaly
neptune,anomaly
neptune,anomaly
normal,normal
mscan,anomaly
neptune,anomaly
normal,normal
normal,normal
normal,normal
neptune,anomaly
neptune,anomaly
neptune,anomaly
warezmaster,normal
normal,normal
apache2,anomaly
normal,normal
satan,anomaly
processtable,normal
processtable,anomaly
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
saint,anomaly
neptune,anomaly
normal,normal
ipsweep,normal
sendmail,normal
normal,normal
normal,normal
neptune,anomaly
warezmaster,anomaly
neptune,anomaly
normal,normal
neptune,anomaly
normal,normal
normal,normal
neptune,anomaly
normal,normal
snmpgetattack,normal
satan,anomaly
normal,normal
neptune,anomaly
satan,anomaly
normal,anomaly
neptune,anomaly
snmpguess,normal
normal,normal
buffer_overflow,normal
satan,anomaly
guess_passwd,normal
guess_passwd,normal
normal,normal
snmpgetattack,normal
normal,normal
normal,normal
normal,normal
normal,normal
normal,normal
apache2,anomaly
smurf,normal
normal,normal
snmpguess,normal
saint,anomaly
apache2,anomaly
normal,normal
neptune,anomaly
neptune,anomaly
snmpgetattack,normal
normal,normal
normal,normal
neptune,anomaly
processtable,normal
neptune,anomaly
smurf,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
normal,normal
normal,normal
apache2,anomaly
smurf,normal
neptune,anomaly
normal,normal
normal,normal
guess_passwd,normal
normal,normal
neptune,anomaly
smurf,normal
buffer_overflow,anomaly
nmap,anomaly
normal,normal
normal,normal
neptune,anomaly
satan,anomaly
smurf,normal
neptune,anomaly
neptune,anomaly
normal,normal
normal,normal
normal,normal
smurf,normal
neptune,anomaly
neptune,anomaly
processtable,anomaly
mscan,anomaly
normal,normal
warezmaster,normal
normal,normal
neptune,anomaly
normal,normal
neptune,anomaly
guess_passwd,normal
normal,normal
smurf,normal
normal,normal
back,normal
processtable,normal
neptune,anomaly
satan,anomaly
smurf,normal
saint,anomaly
normal,normal
normal,normal
normal,normal
nmap,anomaly
back,normal
neptune,anomaly
normal,normal
neptune,anomaly
neptune,anomaly
processtable,anomaly
normal,normal
mscan,anomaly
neptune,anomaly
neptune,anomaly
neptune,anomaly
back,normal
smurf,normal
normal,normal
normal,normal
normal,normal
mscan,anomaly
smurf,normal
snmpguess,normal
normal,normal
normal,normal
normal,normal
warezmaster,normal
smurf,normal
neptune,anomaly
normal,normal
normal,normal
normal,normal
normal,normal
normal,normal
mscan,anomaly
nmap,anomaly
normal,normal
normal,normal
normal,normal
processtable,anomaly
smurf,normal
normal,normal
apache2,anomaly
normal,normal
neptune,anomaly
neptune,anomaly
neptune,anomaly
mailbomb,normal
satan,anomaly
neptune,anomaly
back,normal
normal,normal
normal,normal
normal,normal
normal,normal
normal,normal
normal,normal
neptune,anomaly
guess_passwd,normal
smurf,anomaly
ipsweep,normal
mscan,anomaly
guess_passwd,normal
normal,normal
sendmail,normal
neptune,anomaly
neptune,anomaly
