actual,status,risk_score,risk_level
neptune,ANOMALY,81.61,HIGH
neptune,ANOMALY,79.81,HIGH
normal,NORMAL,21.26,LOW
saint,ANOMALY,54.57,MEDIUM
mscan,ANOMALY,69.16,MEDIUM
normal,NORMAL,2.89,LOW
normal,NORMAL,41.84,MEDIUM
guess_passwd,NORMAL,20.3,LOW
normal,NORMAL,4.77,LOW
guess_passwd,NORMAL,28.99,LOW
mscan,NORMAL,32.25,MEDIUM
normal,NORMAL,21.47,LOW
neptune,ANOMALY,80.11,HIGH
neptune,ANOMALY,76.62,HIGH
normal,NORMAL,44.12,MEDIUM
normal,NORMAL,0.96,LOW
normal,NORMAL,1.45,LOW
normal,NORMAL,1.14,LOW
normal,NORMAL,50.48,MEDIUM
neptune,ANOMALY,81.97,HIGH
neptune,ANOMALY,74.95,HIGH
mscan,ANOMALY,70.11,HIGH
normal,NORMAL,0.63,LOW
normal,NORMAL,1.34,LOW
neptune,ANOMALY,74.55,HIGH
neptune,ANOMALY,76.13,HIGH
normal,NORMAL,4.38,LOW
normal,NORMAL,0.33,LOW
smurf,ANOMALY,58.13,MEDIUM
normal,NORMAL,49.65,MEDIUM
apache2,NORMAL,48.32,MEDIUM
normal,NORMAL,16.36,LOW
normal,NORMAL,6.73,LOW
normal,ANOMALY,58.62,MEDIUM
satan,ANOMALY,92.77,HIGH
mscan,ANOMALY,77.46,HIGH
normal,NORMAL,2.1,LOW
buffer_overflow,NORMAL,24.13,LOW
normal,NORMAL,17.47,LOW
normal,NORMAL,23.2,LOW
neptune,ANOMALY,86.31,HIGH
normal,NORMAL,1.58,LOW
normal,NORMAL,8.03,LOW
normal,NORMAL,6.52,LOW
neptune,ANOMALY,76.06,HIGH
normal,NORMAL,0.85,LOW
neptune,ANOMALY,80.71,HIGH
back,NORMAL,18.23,LOW
mscan,ANOMALY,80.92,HIGH
normal,NORMAL,30.17,MEDIUM
normal,NORMAL,7.1,LOW
normal,NORMAL,4.74,LOW
neptune,ANOMALY,76.06,HIGH
neptune,ANOMALY,81.32,HIGH
warezmaster,NORMAL,37.62,MEDIUM
normal,NORMAL,0.88,LOW
neptune,ANOMALY,76.18,HIGH
snmpgetattack,NORMAL,31.68,MEDIUM
processtable,NORMAL,45.91,MEDIUM
normal,NORMAL,0.3,LOW
guess_passwd,NORMAL,9.51,LOW
warezmaster,NORMAL,36.86,MEDIUM
normal,NORMAL,4.66,LOW
normal,NORMAL,2.53,LOW
satan,ANOMALY,94.09,HIGH
normal,NORMAL,2.12,LOW
mscan,ANOMALY,83.35,HIGH
neptune,ANOMALY,81.21,HIGH
neptune,ANOMALY,82.28,HIGH
normal,NORMAL,0.7,LOW
neptune,ANOMALY,82.14,HIGH
normal,NORMAL,16.57,LOW
normal,NORMAL,1.64,LOW
normal,NORMAL,2.35,LOW
neptune,ANOMALY,75.5,HIGH
normal,NORMAL,0.8,LOW
normal,NORMAL,0.88,LOW
processtable,NORMAL,37.27,MEDIUM
normal,NORMAL,1.69,LOW
normal,NORMAL,2.0,LOW
neptune,ANOMALY,82.55,HIGH
neptune,ANOMALY,81.77,HIGH
pod,NORMAL,46.56,MEDIUM
normal,NORMAL,2.99,LOW
normal,NORMAL,1.73,LOW
normal,NORMAL,2.47,LOW
neptune,ANOMALY,80.49,HIGH
mscan,ANOMALY,80.97,HIGH
normal,NORMAL,1.72,LOW
normal,NORMAL,18.06,LOW
normal,NORMAL,1.99,LOW
normal,NORMAL,0.41,LOW
neptune,ANOMALY,80.41,HIGH
httptunnel,ANOMALY,62.6,MEDIUM
guess_passwd,NORMAL,8.87,LOW
normal,NORMAL,13.99,LOW
normal,NORMAL,0.42,LOW
normal,NORMAL,20.06,LOW
nmap,ANOMALY,81.88,HIGH
neptune,ANOMALY,74.32,HIGH
satan,ANOMALY,99.18,HIGH
guess_passwd,NORMAL,28.08,LOW
neptune,ANOMALY,81.72,HIGH
neptune,ANOMALY,80.54,HIGH
normal,NORMAL,11.82,LOW
neptune,ANOMALY,82.16,HIGH
ps,NORMAL,30.79,MEDIUM
normal,NORMAL,1.75,LOW
neptune,ANOMALY,80.59,HIGH
normal,NORMAL,3.04,LOW
normal,NORMAL,4.1,LOW
neptune,ANOMALY,82.09,HIGH
processtable,NORMAL,37.09,MEDIUM
processtable,NORMAL,38.01,MEDIUM
normal,NORMAL,2.34,LOW
neptune,ANOMALY,87.33,HIGH
normal,NORMAL,1.19,LOW
smurf,NORMAL,42.07,MEDIUM
neptune,ANOMALY,76.58,HIGH
snmpguess,NORMAL,26.4,LOW
normal,NORMAL,2.48,LOW
smurf,ANOMALY,58.08,MEDIUM
nmap,ANOMALY,82.35,HIGH
neptune,ANOMALY,81.47,HIGH
normal,NORMAL,39.38,MEDIUM
normal,NORMAL,23.31,LOW
guess_passwd,NORMAL,18.76,LOW
neptune,ANOMALY,81.66,HIGH
normal,NORMAL,2.81,LOW
normal,NORMAL,19.85,LOW
normal,NORMAL,17.47,LOW
normal,NORMAL,14.74,LOW
